danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,track_name,track_artist,track_id
0.722,0.476,5,-8.203,1,0.0896,0.67,0,0.0926,0.927,151.968,220549,FALSE,8,Este Corazón,El Javi,0Z4UqiPI5c4dMJ5iPyO61d
0.955,0.281,0,-11.392,0,0.466,0.0048,0.0595,0.122,0.0934,127.991,149543,TRUE,0,thinking and doing,Br80,568FGhLEnSZhl82t0YmQ96
0.753,0.355,8,-11.799,1,0.514,0.573,0,0.0735,0.6,91.978,130019,TRUE,0,Puzzlement,JpThaRuler,4Lex8QZVkptfw2PZtjoXlp
0.65,0.331,3,-10.818,0,0.383,0.865,0,0.105,0.581,99.513,116193,TRUE,0,Sensi,JpThaRuler,4pMqXl6EfmZrodPMYHUq9Z
0.69,0.36,4,-15.624,0,0.455,0.764,0,0.181,0.105,89.893,111827,TRUE,0,Rass,JpThaRuler,2pvQEKHtlkHb6ijMwcMuKV
0.849,0.275,6,-15.728,0,0.694,0.414,0,0.0776,0.376,102.053,128546,TRUE,0,Reaching,JpThaRuler,2hduDNW71KhcozwGyjtXGA
0.846,0.269,9,-11.843,0,0.46,0.756,0,0.0914,0.318,91.991,139527,TRUE,0,10,JpThaRuler,2qFRIutLZZKJX9tw6lwo54
0.725,0.235,6,-16.269,0,0.507,0.748,0,0.116,0.549,96.462,138762,TRUE,0,Fast Life,JpThaRuler,6Knv3Q2I7wU7FxHq29oe2z
0.724,0.315,10,-14.677,0,0.861,0.445,0,0.0863,0.531,91.456,138456,TRUE,0,King Speech,JpThaRuler,214BPySb4YGDDhBFZnZVLY
0.699,0.209,6,-14.41,1,0.62,0.367,0,0.0632,0.298,89.102,262971,TRUE,0,irie,JpThaRuler,1HlVLS4ee3GiYocfcg8TgB
0.772,0.26,9,-16.745,1,0.872,0.87,0,0.126,0.252,98.272,164212,TRUE,0,Red Chanel,JpThaRuler,188ROMEgfkYdBRf7COgC8O
0.826,0.277,1,-15.798,1,0.561,0.526,0,0.108,0.382,100.034,85264,TRUE,0,can't lose you,JpThaRuler,4GbVlYCb8Dxg9pIrndwp9h
0.694,0.348,1,-11.542,1,0.36,0.785,1.19E-06,0.106,0.251,91.066,83035,TRUE,0,Violent Love,JpThaRuler,1QyutYbpohJwZsyljxfHCC
0.762,0.452,1,-9.722,1,0.379,0.338,0,0.185,0.544,98.728,81665,TRUE,0,HOT ASF,JpThaRuler,5pxWsqmIgX71t0G9FO4vFb
0.565,0.509,1,-10.75,1,0.429,0.894,0,0.296,0.506,94.4,105697,TRUE,0,Hell Top Him,JpThaRuler,30MQrtexPpHYYsMael4xuA
0.778,0.421,0,-7.322,1,0.362,0.492,0,0.117,0.113,87.631,120881,TRUE,0,Trippie Redd,JpThaRuler,31e0fYXMViLknYruh4Ycrp
0.666,0.0198,0,-12.741,1,0.265,0.533,0,0.0757,0.0359,83.869,165139,TRUE,0,Burn Yours,JpThaRuler,7idakF31m9yYwbW2qrkLlR
0.749,0.394,7,-12.669,0,0.294,0.271,0,0.123,0.664,142.06,112477,TRUE,0,Secret,JpThaRuler,0hdj75gfRWe2Hc6ORDbx7A
0.765,0.378,11,-12.536,1,0.293,0.669,0,0.132,0.283,158.87,109970,TRUE,0,OverNight,JpThaRuler,6yt8h9yBJcF2jsEZpj57xI
0.649,0.664,4,-10.118,0,0.28,0.0153,8.03E-05,0.226,0.398,170.067,176027,FALSE,0,Riskin It All,Jimmy D,79rxwofafM8sCUb63rwaYf
0.517,0.387,4,-11.013,0,0.0994,0.339,0,0.0943,0.387,143.022,61048,TRUE,0,Cheaper To Keep,Kafime,2IvT7dfDMKReoc7VpMca7J
